Model,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Training Time (s)
Random Forest,60.0777009338515,87.17038346933056,7.750980643367103,9.33650809828442,5.586379862924728,6.70126812438038,0.4991587140842708,0.2592903507049025,202.55168199539185
Gradient Boosting,77.74095287422122,88.19526005083812,8.817083013912324,9.391233148572029,6.348503143770651,6.729696584694055,0.3510463660436127,0.2505817051415121,90.77371406555176
Random Forest (Tuned),86.57786511911182,89.88393183748359,9.304722731984647,9.480713677644927,6.639588224564513,6.776234994838436,0.2782385373595112,0.23623261733119205,156.8099491596222
Ridge Regression,97.03460008966431,95.69867230804229,9.850614198600223,9.782569821271009,7.176750945289468,7.139227525066549,0.19106535150644643,0.18682323993405237,0.09086799621582031
Linear Regression,97.03460008927023,95.69867449567313,9.85061419858022,9.782569933083694,7.176750811865083,7.139227485898214,0.1910653515097317,0.18682322134517837,0.33918285369873047
Lasso Regression,97.35973824461388,95.92755348653087,9.867103842800779,9.794261252719926,7.181023005501738,7.139374439638888,0.18835481816222754,0.1848783764299452,0.22392654418945312
ElasticNet,97.35549806955706,95.93317797314776,9.866888976245606,9.794548380254588,7.189609974961778,7.148769313010758,0.1883901666308766,0.1848305836895252,0.227952241897583
Decision Tree,67.73294275771109,113.70957986818023,8.23000259767341,10.663469410477072,5.753926940438417,7.414888873321374,0.4353403405536459,0.03377982666227353,20.463919162750244
Neural Network,304.4639892578125,306.0815734863281,17.448896505447344,17.495187152080657,15.992101669311523,16.0361270904541,-1.538182258605957,-1.6008555889129639,216.5683512687683
